chose_left,chose_right,reward_left,reward_right,subjID,q_reward,mu,blocks,contrast_difference,abs_condiff,trial
1,0,1,0,143,1,1,2,-0.0677608274713255,0.0677608274713255,2
0,1,1,0,143,NaN,NaN,2,-0.0744383441251875,0.0744383441251875,3
1,0,1,0,143,1,1,2,0.0957570779535725,0.0957570779535725,4
1,0,1,0,143,1,0,2,0.043141279841443,0.043141279841443,5
1,0,1,0,143,1,1,2,-0.0978859836592725,0.0978859836592725,6
0,1,1,0,143,0,0,2,-0.00199693293946052,0.00199693293946052,7
0,1,0,1,143,1,0,2,-0.0508369981163555,0.0508369981163555,8
0,1,0,1,143,1,1,2,0.0917004755684815,0.0917004755684815,9
1,0,1,0,143,1,1,2,0.0337946981934465,0.0337946981934465,10
1,0,1,0,143,0,1,2,0.0288309330843945,0.0288309330843945,11
0,1,1,0,143,0,0,2,-0.0112556459203215,0.0112556459203215,12
1,0,1,0,143,0,0,2,-0.0174079123160445,0.0174079123160445,13
0,1,0,1,143,0,0,2,0.0345481563449665,0.0345481563449665,14
1,0,1,0,143,1,1,2,0.0561464669478635,0.0561464669478635,15
0,1,1,0,143,0,0,2,-0.0448899226798345,0.0448899226798345,16
0,1,1,0,143,1,1,2,-0.0396985459621655,0.0396985459621655,17
1,0,1,0,143,1,1,2,0.0790898306854825,0.0790898306854825,18
0,1,0,1,143,NaN,NaN,2,0.00442017742743753,0.00442017742743753,19
1,0,1,0,143,1,1,2,0.0446369373904665,0.0446369373904665,20
1,0,1,0,143,1,0,2,0.0326731344075785,0.0326731344075785,21
0,1,0,1,143,1,0,2,-0.0574159586390855,0.0574159586390855,22
0,1,0,1,143,0,0,2,0.0320820501318165,0.0320820501318165,23
1,0,1,0,143,1,0,2,0.0855421769371545,0.0855421769371545,24
